name,address,website,contain_keyword,phone_number,reviews_count,reviews_average
SNAPY digital printing & fotocopy jakarta barat - tanjung duren,"Ruko Cemara Central, Jl. Tanjung Duren Raya No.71, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0819-1311-2345,1025,4.5
PT. Triniti Dinamik Tbk,"Jl. Letjen. S.Parman Kav.28 Grogol Petamburan – Jakarta Indonesia 11470 APL Tower, 10th floor, Unit T9, RT.9/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 29201133,22,4.2
Coconut Tree,"Jl. Tanjung Duren Raya No.11, RT.4/RW.2, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0811-9666-118,11,4.7
DIJUAL RUKO 5 LANTAI!,"Jl. Tanjung Duren Raya No.364, RT.11/RW.2, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0812-1000-7058,1,5.0
PT Volante Teknologi Indonesia,"Soho Capital 30-06, Jl. Letjen S. Parman No.Kav 28, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 14470",,,0815-1705-1234,,
Harnods,"APL Office Tower, 16th floor Suite 9 Podomoro City (Central Park) Jl. Let. Jend. S. Parman Kav 28 Jakarta 11470, RT.9/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,0878-8085-1479,4,5.0
Souvenir Promosi Indonesia,"Jl. Tj. Duren Utara VII No.417 3, RT.3/RW.3, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0822-9928-8828,,
PT. Taruma Bhakti Usaha,"Parking lot, Gedung A, Lantai 2 Kampus II - Universitas Tarumanagara, Jalan Tanjung Duren Utara No. 1, RT.11/RW.1, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,No,(021) 5650340,1,4.0
Laundry Khoe Laundry Tanjung Duren,"Jl. Tj. Duren Utara 4 No.54 10, RT.10/RW.3, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,0878-8899-3188,36,5.0
Hr Toko,"Jl. Tanjung Duren Barat III No.10, RT.12/RW.2, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",,,(021) 5685955,,
